date,gpr_index
1989-01-02,170.06
1989-01-05,139.05
1989-01-25,160.21
1989-02-08,140.65
1989-02-10,141.71
1989-02-15,167.9
1989-03-18,140.05
1989-03-20,150.57
1989-04-08,150.83
1989-04-10,176.75
1989-04-24,147.98
1989-05-12,168.15
1989-05-20,179.38
1989-05-22,141.32
1989-06-05,142.05
1989-06-06,155.59
1989-06-07,139.18
1989-06-13,159.4
1989-06-27,143.79
1989-07-18,142.83
1989-08-01,200.6
1989-08-02,190.38
1989-08-04,178.33
1989-08-05,192.38
1989-08-07,200.58
1989-08-08,158.75
1989-08-12,170.69
1989-08-15,139.97
1989-11-01,147.33
1989-11-13,161.45
1989-11-28,177.37
1989-12-02,167.36
1989-12-04,150.33
1989-12-05,148.32
1989-12-16,142.14
1989-12-19,143.8
1989-12-21,164.35
