date,gpr_index
1999-02-22,110.3
1999-03-24,131.06
1999-03-25,127.63
1999-03-27,110.52
1999-03-29,133.11
1999-04-01,121.05
1999-04-03,131.88
1999-04-05,131.88
1999-04-06,135.43
1999-04-07,119.26
1999-04-08,116.18
1999-04-10,120.28
1999-04-13,142.84
1999-04-14,126.71
1999-04-15,145.27
1999-04-19,120.92
1999-04-20,143.04
1999-04-26,111.66
1999-04-28,112.73
1999-04-29,126.86
1999-04-30,110.62
1999-05-07,116.54
1999-05-13,116.23
1999-05-26,137.9
1999-06-08,111.89
1999-06-11,127.84
1999-09-20,110.3
1999-10-11,110.66
1999-10-26,120.31
1999-12-14,112.29
1999-12-18,154.56
1999-12-20,115.09
1999-12-25,140.53
1999-12-26,115.05
1999-12-27,119.67
1999-12-28,187.32
1999-12-29,121.98
