date,gpr_index
2016-01-01,208.84
2016-01-05,205.16
2016-01-06,161.47
2016-01-07,205.2
2016-01-08,181.01
2016-01-18,147.98
2016-01-19,154.42
2016-01-20,194.34
2016-02-19,161.59
2016-02-23,150.36
2016-03-23,245.38
2016-03-25,186.76
2016-03-28,157.19
2016-03-29,168.96
2016-04-01,156.7
2016-06-03,144.2
2016-06-29,151.01
2016-07-16,237.54
2016-07-17,188.21
2016-07-18,158.04
2016-07-19,190.25
2016-07-21,146.57
2016-07-22,150.14
2016-08-04,154.44
2016-08-25,176.97
2016-08-29,151.2
2016-09-19,255.73
2016-09-20,183.11
2016-09-21,162.74
2016-10-04,147.35
2016-11-14,153.25
2016-11-29,145.43
2016-12-01,146.61
2016-12-21,195.18
2016-12-23,182.84
2016-12-30,206.67
2016-12-31,152.98
