date,gpr_index
1992-01-01,120.77
1992-01-04,130.68
1992-01-07,131.34
1992-01-11,145.29
1992-01-14,124.33
1992-01-20,131.96
1992-01-30,146.85
1992-01-31,129.61
1992-02-19,119.04
1992-02-22,135.6
1992-03-20,129.25
1992-03-30,134.23
1992-04-20,143.36
1992-05-25,149.44
1992-05-26,138.22
1992-06-03,163.27
1992-06-05,138.91
1992-06-09,139.48
1992-06-13,120.29
1992-06-16,126.02
1992-07-08,132.86
1992-08-10,128.39
1992-08-11,144.65
1992-08-17,124.16
1992-08-27,143.86
1992-10-12,126.68
1992-11-09,163.46
1992-11-10,140.87
1992-11-11,130.76
1992-11-16,132.31
1992-11-23,148.77
1992-11-30,147.79
1992-12-01,143.22
1992-12-08,128.95
1992-12-22,121.31
1992-12-23,122.02
1992-12-30,143.07
