date,gpr_index
2009-01-01,119.2
2009-01-07,136.82
2009-01-08,135.21
2009-01-12,138.93
2009-01-14,131.81
2009-01-16,137.05
2009-03-02,118.02
2009-04-06,141.49
2009-04-09,128.88
2009-04-14,175.25
2009-05-05,119.16
2009-05-18,148.12
2009-05-19,136.4
2009-05-25,127.22
2009-05-26,157.94
2009-05-27,149.7
2009-05-28,125.79
2009-06-18,125.4
2009-07-03,128.64
2009-07-24,139.67
2009-08-29,124.59
2009-09-18,173.58
2009-09-25,136.71
2009-09-26,144.57
2009-09-28,129.9
2009-09-29,129.52
2009-09-30,156.01
2009-10-01,132.37
2009-10-19,118.15
2009-11-03,122.69
2009-11-30,119.09
2009-12-02,133.8
2009-12-26,155.89
2009-12-27,123.37
2009-12-28,176.14
2009-12-29,204.68
2009-12-30,169.01
