date,gpr_index
1994-02-08,182.71
1994-02-14,168.3
1994-02-15,147.74
1994-02-16,193.41
1994-02-17,157.13
1994-02-19,166.99
1994-02-21,161.13
1994-04-20,156.44
1994-04-22,156.93
1994-05-06,163.79
1994-05-09,141.31
1994-05-27,145.64
1994-06-01,147.67
1994-06-04,141.74
1994-06-10,155.38
1994-06-13,204.32
1994-06-15,159.33
1994-06-18,148.92
1994-06-20,163.99
1994-06-24,159.52
1994-06-27,149.02
1994-07-06,149.14
1994-07-29,143.7
1994-08-01,178.69
1994-08-05,143.87
1994-09-19,143.47
1994-09-20,152.55
1994-09-27,161.85
1994-10-10,159.86
1994-10-11,237.17
1994-10-12,146.67
1994-10-18,142.17
1994-11-12,143.16
1994-11-29,154.16
1994-12-02,148.38
1994-12-13,141.37
1994-12-26,151.0
