date,gpr_index
2002-01-01,289.4
2002-01-02,232.91
2002-01-10,215.1
2002-01-11,211.82
2002-01-17,208.58
2002-01-31,202.98
2002-02-13,211.82
2002-03-04,227.93
2002-03-11,228.33
2002-03-12,218.93
2002-04-04,238.62
2002-04-05,201.63
2002-04-16,203.75
2002-05-22,209.66
2002-05-23,209.38
2002-05-27,217.67
2002-06-07,209.43
2002-06-15,225.86
2002-09-10,225.34
2002-09-13,301.14
2002-09-17,205.88
2002-09-18,236.17
2002-09-24,216.18
2002-09-25,237.25
2002-09-27,255.03
2002-10-07,203.37
2002-10-09,209.03
2002-10-18,271.0
2002-10-25,201.68
2002-11-14,216.92
2002-11-19,216.77
2002-12-06,216.98
2002-12-20,276.05
2002-12-24,273.16
2002-12-26,206.75
2002-12-27,203.79
2002-12-31,228.61
