date,gpr_index
2018-01-02,188.69
2018-01-12,167.51
2018-03-15,189.41
2018-03-16,173.33
2018-03-21,171.26
2018-03-22,162.07
2018-03-29,176.91
2018-04-10,213.29
2018-04-12,296.52
2018-04-16,194.29
2018-04-17,178.37
2018-04-18,234.36
2018-04-19,214.14
2018-04-25,193.13
2018-05-01,155.35
2018-05-02,186.62
2018-05-09,284.19
2018-05-10,233.39
2018-05-11,163.63
2018-05-23,179.17
2018-06-01,186.23
2018-06-05,178.04
2018-06-12,155.89
2018-06-14,188.49
2018-07-09,170.47
2018-07-12,172.86
2018-07-16,168.76
2018-07-23,161.71
2018-07-24,161.13
2018-08-06,162.55
2018-08-07,200.46
2018-08-09,170.89
2018-08-11,156.45
2018-10-26,159.1
2018-12-07,196.08
2018-12-20,162.69
2018-12-21,210.32
