date,gpr_index
2022-01-25,291.58
2022-01-26,260.34
2022-01-27,265.01
2022-02-02,250.32
2022-02-22,279.43
2022-02-23,431.02
2022-02-24,370.7
2022-02-25,515.89
2022-02-26,398.59
2022-02-28,452.62
2022-03-01,540.83
2022-03-02,523.52
2022-03-03,436.82
2022-03-04,350.07
2022-03-05,322.36
2022-03-07,362.31
2022-03-08,352.11
2022-03-09,295.31
2022-03-10,352.4
2022-03-11,410.33
2022-03-12,298.71
2022-03-14,350.11
2022-03-15,311.88
2022-03-16,473.22
2022-03-17,290.33
2022-03-18,285.32
2022-03-22,244.84
2022-03-23,267.47
2022-03-24,317.01
2022-03-25,350.74
2022-03-26,275.09
2022-03-28,281.92
2022-03-31,254.81
2022-04-13,258.88
2022-04-14,265.66
2022-04-22,246.8
2022-04-25,246.9
