date,gpr_index
1991-01-08,364.64
1991-01-09,300.28
1991-01-10,292.17
1991-01-11,376.15
1991-01-12,355.52
1991-01-14,351.93
1991-01-15,572.3
1991-01-16,477.96
1991-01-17,565.65
1991-01-18,552.74
1991-01-19,391.99
1991-01-21,460.97
1991-01-22,503.78
1991-01-23,437.26
1991-01-24,407.59
1991-01-25,414.07
1991-01-26,427.06
1991-01-28,338.67
1991-01-29,447.91
1991-01-30,489.92
1991-01-31,338.4
1991-02-01,319.81
1991-02-02,323.61
1991-02-03,306.05
1991-02-04,312.3
1991-02-05,388.54
1991-02-06,384.49
1991-02-08,362.51
1991-02-09,292.29
1991-02-11,355.52
1991-02-14,294.45
1991-02-18,367.28
1991-02-22,324.6
1991-02-23,427.8
1991-02-25,510.52
1991-02-26,369.17
1991-02-27,435.5
