date,gpr_index
2020-01-02,163.18
2020-01-04,229.99
2020-01-05,199.25
2020-01-06,251.99
2020-01-07,413.46
2020-01-08,180.61
2020-01-09,394.46
2020-01-10,167.3
2020-01-12,175.73
2020-01-13,152.73
2020-01-14,131.78
2020-01-15,153.53
2020-01-16,145.95
2020-01-17,129.82
2020-01-30,188.07
2020-02-04,143.61
2020-03-04,144.92
2020-03-24,191.01
2020-03-29,157.74
2020-04-22,137.26
2020-05-18,135.1
2020-05-22,135.65
2020-05-25,129.13
2020-05-29,137.45
2020-06-17,151.38
2020-06-22,131.45
2020-07-27,137.18
2020-08-21,166.3
2020-08-27,142.09
2020-09-07,149.53
2020-09-10,145.25
2020-09-11,145.95
2020-10-16,123.5
2020-10-27,130.45
2020-11-03,162.63
2020-11-04,129.57
2020-12-01,129.66
