date,gpr_index
2024-01-09,241.27
2024-01-12,210.59
2024-01-16,193.39
2024-01-19,207.41
2024-01-25,202.29
2024-01-30,206.28
2024-01-31,205.61
2024-02-09,194.53
2024-02-15,214.81
2024-02-21,193.75
2024-02-22,219.58
2024-02-26,200.97
2024-03-12,199.55
2024-04-02,197.96
2024-04-10,208.52
2024-04-15,230.79
2024-04-16,340.54
2024-04-17,227.5
2024-04-19,208.12
2024-06-24,212.61
2024-08-02,191.22
2024-09-11,212.91
2024-09-26,234.46
2024-10-03,237.06
2024-10-22,214.15
2024-10-23,215.39
2024-11-18,245.91
2024-11-19,197.48
2024-11-20,195.19
2024-11-21,193.79
2024-11-27,199.63
2024-11-29,226.97
2024-12-02,197.0
2024-12-10,194.5
2024-12-12,233.83
2024-12-13,191.36
2024-12-16,194.04
