date,gpr_index
2001-09-12,725.51
2001-09-13,633.48
2001-09-14,667.81
2001-09-15,577.85
2001-09-17,744.77
2001-09-18,851.1
2001-09-19,755.6
2001-09-20,771.03
2001-09-21,870.98
2001-09-22,768.99
2001-09-23,482.63
2001-09-24,789.36
2001-09-25,1045.6
2001-09-26,930.53
2001-09-27,786.58
2001-09-28,776.38
2001-09-29,614.33
2001-10-01,617.37
2001-10-02,769.49
2001-10-03,818.96
2001-10-04,702.59
2001-10-05,687.97
2001-10-06,588.0
2001-10-08,616.22
2001-10-09,706.4
2001-10-10,566.55
2001-10-11,496.64
2001-10-12,588.47
2001-10-13,478.71
2001-10-15,449.56
2001-10-16,630.97
2001-10-17,618.74
2001-10-18,530.52
2001-10-19,455.73
2001-10-23,524.18
2001-10-24,505.96
2001-10-31,480.0
