date,gpr_index
2008-01-09,123.04
2008-01-23,137.01
2008-02-04,117.29
2008-02-15,114.53
2008-03-03,122.55
2008-03-04,160.11
2008-05-26,122.69
2008-06-14,114.86
2008-06-20,130.37
2008-06-24,164.26
2008-06-25,133.41
2008-07-01,123.6
2008-07-09,116.91
2008-07-10,136.99
2008-07-14,137.71
2008-07-15,119.99
2008-07-16,120.84
2008-07-21,123.14
2008-08-11,144.52
2008-08-12,149.08
2008-08-13,122.18
2008-08-18,131.32
2008-08-20,153.75
2008-09-04,154.28
2008-09-16,125.66
2008-09-17,127.53
2008-11-27,158.62
2008-11-28,171.04
2008-11-29,155.46
2008-12-01,205.49
2008-12-02,166.5
2008-12-09,138.02
2008-12-12,119.62
2008-12-25,129.48
2008-12-29,156.54
2008-12-30,179.31
2008-12-31,128.32
