date,gpr_index
1986-01-01,269.63
1986-01-03,166.88
1986-01-07,174.35
1986-01-10,204.48
1986-01-16,195.32
1986-01-18,204.35
1986-01-20,163.36
1986-01-25,227.03
1986-03-26,220.31
1986-03-27,175.15
1986-03-29,182.01
1986-04-08,172.53
1986-04-11,190.82
1986-04-15,289.13
1986-04-16,340.54
1986-04-17,166.01
1986-04-18,222.89
1986-04-23,164.45
1986-04-29,171.96
1986-05-20,244.68
1986-05-24,176.83
1986-05-25,195.74
1986-05-26,196.3
1986-05-27,169.39
1986-06-07,166.18
1986-06-13,164.88
1986-08-09,178.74
1986-08-12,190.28
1986-08-13,202.81
1986-09-06,256.69
1986-09-22,188.75
1986-09-23,167.22
1986-09-24,163.03
1986-09-26,184.85
1986-11-05,197.09
1986-11-18,166.88
1986-12-27,175.89
