date,gpr_index
2012-01-30,128.43
2012-02-01,134.97
2012-02-06,124.92
2012-02-07,142.99
2012-02-15,128.72
2012-02-20,150.12
2012-02-21,141.49
2012-02-24,152.73
2012-02-25,133.75
2012-02-29,146.9
2012-03-07,138.18
2012-03-08,154.15
2012-03-09,132.38
2012-03-21,124.38
2012-03-28,149.58
2012-04-01,141.78
2012-04-02,154.47
2012-04-03,134.5
2012-04-04,126.08
2012-04-09,126.88
2012-04-12,136.67
2012-04-16,136.95
2012-05-18,147.15
2012-05-28,157.49
2012-06-20,147.88
2012-06-26,129.9
2012-07-04,129.36
2012-07-17,155.83
2012-07-19,147.79
2012-07-20,166.37
2012-08-22,123.79
2012-10-15,129.81
2012-10-22,163.36
2012-11-06,129.59
2012-11-20,135.6
2012-11-22,121.63
2012-11-23,122.55
