date,gpr_index
1990-08-03,250.39
1990-08-06,257.97
1990-08-07,299.68
1990-08-08,324.48
1990-08-09,223.93
1990-08-10,216.13
1990-08-11,274.65
1990-08-13,343.07
1990-08-14,379.88
1990-08-15,269.12
1990-08-17,236.61
1990-08-18,249.2
1990-08-20,234.89
1990-08-21,317.22
1990-08-22,344.55
1990-08-23,294.8
1990-08-24,270.33
1990-08-25,336.24
1990-08-27,245.15
1990-08-28,266.15
1990-08-29,292.72
1990-08-31,263.64
1990-09-01,261.36
1990-09-03,259.24
1990-09-04,292.61
1990-09-05,275.64
1990-09-08,250.01
1990-09-15,276.54
1990-09-25,280.19
1990-11-06,230.65
1990-11-21,223.49
1990-11-24,230.96
1990-11-27,229.97
1990-12-01,222.4
1990-12-03,228.83
1990-12-05,219.86
1990-12-26,216.18
