date,gpr_index
2014-02-03,156.58
2014-03-03,180.03
2014-03-04,213.07
2014-03-05,213.84
2014-03-07,165.26
2014-03-18,194.08
2014-04-30,182.05
2014-06-17,207.04
2014-06-24,155.02
2014-07-16,160.09
2014-07-18,207.28
2014-07-19,173.85
2014-07-21,203.45
2014-07-22,208.98
2014-07-23,217.15
2014-07-25,180.28
2014-07-29,169.99
2014-07-30,202.23
2014-08-04,155.7
2014-08-05,172.58
2014-08-06,159.54
2014-08-07,177.73
2014-08-08,212.4
2014-08-11,206.7
2014-08-13,165.85
2014-08-19,216.15
2014-08-25,167.6
2014-08-29,157.34
2014-09-01,227.85
2014-09-02,219.28
2014-09-03,184.26
2014-09-04,219.84
2014-09-12,168.17
2014-09-16,157.35
2014-09-17,159.8
2014-09-23,179.18
2014-11-25,163.64
