date,gpr_index
2017-01-30,166.49
2017-01-31,188.69
2017-02-03,184.03
2017-02-07,184.34
2017-02-10,212.41
2017-02-14,185.85
2017-03-24,177.37
2017-04-08,176.62
2017-04-12,171.34
2017-04-20,178.77
2017-05-24,181.95
2017-05-26,218.07
2017-06-05,276.61
2017-06-06,227.28
2017-06-07,245.96
2017-06-08,182.93
2017-06-19,171.01
2017-06-20,204.2
2017-06-21,180.24
2017-06-22,210.32
2017-07-05,208.9
2017-07-06,177.17
2017-07-31,170.75
2017-08-01,198.39
2017-08-08,169.71
2017-08-10,215.32
2017-08-12,181.9
2017-08-14,202.68
2017-08-15,232.36
2017-08-21,177.33
2017-08-22,250.01
2017-09-04,253.1
2017-09-05,188.15
2017-09-06,202.49
2017-09-18,172.78
2017-11-02,188.31
2017-11-08,181.09
