date,gpr_index
2005-01-24,159.03
2005-01-31,155.16
2005-02-15,150.57
2005-03-01,146.94
2005-05-02,150.57
2005-06-27,156.5
2005-07-08,469.2
2005-07-09,241.45
2005-07-10,152.83
2005-07-11,223.27
2005-07-12,201.46
2005-07-13,224.74
2005-07-14,171.48
2005-07-15,154.66
2005-07-16,196.1
2005-07-18,167.34
2005-07-19,175.07
2005-07-20,190.3
2005-07-22,190.59
2005-07-23,163.84
2005-07-25,214.23
2005-07-26,211.98
2005-07-27,188.04
2005-07-28,171.76
2005-07-29,169.95
2005-08-01,184.26
2005-08-02,160.59
2005-08-03,164.02
2005-08-04,170.34
2005-08-06,146.6
2005-08-08,173.5
2005-08-12,149.44
2005-08-14,151.24
2005-09-19,161.86
2005-09-20,148.46
2005-10-31,177.8
2005-11-11,146.63
