date,gpr_index
2015-01-08,168.64
2015-01-20,175.29
2015-02-06,166.44
2015-02-23,168.18
2015-03-04,218.32
2015-03-27,199.25
2015-04-04,165.63
2015-04-08,166.76
2015-06-30,169.32
2015-07-15,229.98
2015-07-21,193.98
2015-07-27,171.44
2015-09-22,188.75
2015-10-02,180.35
2015-11-16,291.99
2015-11-17,354.05
2015-11-18,309.5
2015-11-19,242.89
2015-11-20,212.19
2015-11-21,171.54
2015-11-22,203.53
2015-11-23,170.01
2015-11-24,246.84
2015-11-25,247.62
2015-11-26,172.98
2015-11-27,237.59
2015-12-01,170.5
2015-12-02,192.7
2015-12-03,157.92
2015-12-05,158.13
2015-12-07,197.37
2015-12-08,197.98
2015-12-09,199.5
2015-12-16,170.6
2015-12-17,162.98
2015-12-21,165.02
2015-12-25,160.93
