date,gpr_index
1997-01-01,97.59
1997-01-02,93.88
1997-01-05,74.5
1997-01-07,76.11
1997-01-26,73.61
1997-02-07,78.22
1997-02-19,90.88
1997-03-03,86.79
1997-03-07,74.93
1997-03-12,76.22
1997-03-24,78.4
1997-04-08,85.21
1997-04-09,98.2
1997-04-15,76.63
1997-04-17,76.42
1997-04-21,78.5
1997-04-23,159.29
1997-04-24,95.37
1997-04-25,84.86
1997-04-29,105.38
1997-04-30,78.87
1997-05-14,86.47
1997-05-15,80.87
1997-05-27,95.1
1997-05-30,77.41
1997-07-07,79.87
1997-08-05,74.98
1997-10-24,85.56
1997-10-27,79.23
1997-10-28,73.19
1997-10-31,75.95
1997-11-04,81.59
1997-11-08,95.1
1997-11-12,74.79
1997-11-18,76.44
1997-11-20,78.48
1997-11-21,92.94
