date,gpr_index
2021-01-12,169.88
2021-01-25,140.45
2021-02-02,192.34
2021-03-02,137.47
2021-03-03,154.59
2021-03-18,134.94
2021-04-14,186.3
2021-04-21,166.3
2021-04-23,146.73
2021-05-13,140.43
2021-05-19,158.96
2021-05-21,165.85
2021-05-24,138.41
2021-05-25,170.94
2021-05-26,176.61
2021-05-28,140.03
2021-06-16,144.79
2021-06-17,138.02
2021-06-22,170.6
2021-08-17,157.74
2021-08-23,189.93
2021-08-31,203.01
2021-09-17,151.91
2021-10-05,171.9
2021-10-19,133.84
2021-10-26,144.65
2021-11-10,135.3
2021-11-15,141.16
2021-11-18,158.17
2021-12-07,202.43
2021-12-08,145.56
2021-12-10,164.98
2021-12-16,136.25
2021-12-22,141.34
2021-12-23,135.31
2021-12-24,135.72
2021-12-30,147.23
