date,gpr_index
1996-01-15,138.24
1996-01-18,161.17
1996-02-13,137.39
1996-02-23,132.33
1996-02-27,147.02
1996-02-28,173.26
1996-03-04,141.19
1996-03-05,170.94
1996-03-06,162.34
1996-03-08,149.44
1996-03-12,148.12
1996-03-14,143.27
1996-03-15,136.47
1996-03-25,137.36
1996-04-01,152.65
1996-04-08,133.67
1996-04-17,149.34
1996-04-18,139.08
1996-04-22,135.08
1996-04-23,137.31
1996-05-21,136.56
1996-06-27,181.72
1996-07-29,134.42
1996-07-30,141.31
1996-07-31,131.23
1996-08-05,136.34
1996-08-06,134.84
1996-08-07,157.74
1996-08-08,160.07
1996-08-13,134.84
1996-09-02,183.11
1996-09-03,191.76
1996-09-04,192.15
1996-09-05,140.02
1996-09-06,163.44
1996-09-11,131.96
1996-12-30,137.61
