date,gpr_index
2000-01-01,123.08
2000-01-03,101.02
2000-01-04,93.75
2000-01-24,90.76
2000-02-08,124.31
2000-02-11,92.17
2000-04-24,106.61
2000-05-05,90.94
2000-05-06,86.44
2000-05-08,95.96
2000-05-09,102.91
2000-05-10,93.16
2000-05-11,93.49
2000-05-12,97.1
2000-05-13,89.29
2000-05-16,117.2
2000-05-18,98.05
2000-05-19,104.29
2000-05-22,116.42
2000-05-23,86.82
2000-05-24,89.77
2000-05-29,112.73
2000-06-01,114.41
2000-06-05,108.49
2000-06-06,89.44
2000-06-10,91.93
2000-08-28,100.5
2000-09-18,95.46
2000-10-07,90.8
2000-10-09,114.97
2000-10-10,103.62
2000-10-13,195.98
2000-10-14,117.47
2000-10-16,110.09
2000-10-17,96.69
2000-10-21,97.17
2000-10-31,86.54
