date,gpr_index
1993-01-07,154.16
1993-01-09,152.11
1993-01-11,149.13
1993-01-12,160.48
1993-01-14,257.9
1993-01-15,184.59
1993-01-18,172.31
1993-01-19,172.45
1993-01-25,183.15
1993-02-02,154.07
1993-03-26,152.01
1993-04-08,151.32
1993-04-19,146.08
1993-05-03,143.44
1993-05-04,159.3
1993-05-07,190.49
1993-05-17,174.13
1993-06-01,152.11
1993-06-05,152.89
1993-06-23,146.47
1993-06-26,153.12
1993-06-28,190.78
1993-06-29,169.5
1993-07-03,155.98
1993-07-05,143.56
1993-07-06,143.46
1993-07-07,155.54
1993-07-12,175.73
1993-07-17,162.42
1993-07-20,145.96
1993-07-28,159.41
1993-08-26,153.99
1993-08-27,152.34
1993-09-28,153.64
1993-10-01,161.27
1993-10-19,149.08
1993-10-25,160.56
