date,gpr_index
2011-01-25,204.2
2011-02-22,163.83
2011-02-24,144.02
2011-02-25,137.74
2011-03-01,178.96
2011-03-03,154.95
2011-03-07,138.72
2011-03-08,166.01
2011-03-09,199.47
2011-03-10,136.31
2011-03-11,136.77
2011-03-15,141.81
2011-03-16,166.35
2011-03-18,147.8
2011-03-19,133.51
2011-03-21,151.39
2011-03-22,192.93
2011-03-23,231.28
2011-03-24,144.68
2011-03-25,130.92
2011-03-28,131.84
2011-03-29,196.35
2011-04-06,130.39
2011-04-26,144.02
2011-05-03,269.19
2011-05-10,140.8
2011-05-19,150.25
2011-05-24,134.66
2011-05-31,140.02
2011-08-15,131.06
2011-08-22,143.46
2011-08-23,197.71
2011-08-24,159.73
2011-09-06,138.56
2011-10-12,137.25
2011-10-13,135.99
2011-12-20,180.25
