date,gpr_index
2013-01-15,124.86
2013-01-17,125.95
2013-01-18,146.6
2013-01-22,151.14
2013-01-25,124.61
2013-02-01,134.15
2013-02-13,176.87
2013-03-29,125.16
2013-04-04,123.72
2013-04-17,153.72
2013-04-22,165.17
2013-04-23,153.32
2013-05-20,123.03
2013-05-27,126.39
2013-05-28,157.53
2013-06-07,156.53
2013-06-11,126.31
2013-06-17,149.3
2013-06-18,124.22
2013-07-15,125.86
2013-08-07,128.68
2013-08-27,154.75
2013-08-28,140.36
2013-08-29,187.64
2013-08-31,187.62
2013-09-06,126.08
2013-09-16,127.76
2013-09-23,164.71
2013-09-24,174.12
2013-09-25,124.93
2013-09-26,129.27
2013-09-27,131.37
2013-10-01,132.82
2013-10-07,125.09
2013-10-21,133.98
2013-11-25,164.52
2013-11-26,186.74
