date,gpr_index
1987-01-10,158.14
1987-02-07,163.9
1987-02-10,148.42
1987-02-15,155.62
1987-03-03,146.8
1987-03-28,162.47
1987-04-01,162.5
1987-04-11,181.28
1987-04-13,155.28
1987-04-17,153.25
1987-04-25,160.03
1987-04-28,183.67
1987-05-05,149.64
1987-05-19,185.88
1987-06-08,160.8
1987-06-22,158.12
1987-06-27,152.11
1987-07-17,178.89
1987-07-18,171.5
1987-07-22,179.6
1987-07-24,176.91
1987-07-28,172.17
1987-08-05,165.63
1987-08-29,172.53
1987-09-07,172.91
1987-09-12,167.72
1987-09-19,219.15
1987-09-23,161.31
1987-09-25,147.88
1987-09-26,222.02
1987-09-29,166.27
1987-10-10,175.67
1987-12-04,177.65
1987-12-08,197.03
1987-12-16,148.68
1987-12-25,154.59
1987-12-26,169.01
