date,gpr_index
1985-01-01,230.04
1985-01-06,167.3
1985-01-14,211.64
1985-02-05,174.89
1985-02-23,200.44
1985-03-06,179.06
1985-03-12,232.91
1985-03-13,183.18
1985-03-14,177.46
1985-03-16,194.86
1985-04-06,179.06
1985-06-18,258.32
1985-06-19,165.63
1985-06-20,246.39
1985-06-21,213.71
1985-06-24,230.51
1985-06-25,205.66
1985-06-26,170.89
1985-06-27,204.3
1985-06-28,198.24
1985-06-29,188.69
1985-06-30,182.41
1985-07-01,255.47
1985-07-02,222.37
1985-07-04,180.03
1985-07-10,197.09
1985-07-12,174.69
1985-07-13,165.08
1985-07-23,167.2
1985-08-21,167.72
1985-09-26,174.71
1985-10-02,184.03
1985-10-15,190.47
1985-12-26,165.17
1985-12-28,307.86
1985-12-30,263.38
1985-12-31,220.17
