date,gpr_index
1988-01-21,159.58
1988-03-04,134.98
1988-03-05,129.4
1988-03-08,136.6
1988-03-12,153.03
1988-03-16,144.53
1988-03-17,146.62
1988-03-19,174.35
1988-03-22,127.87
1988-03-26,177.91
1988-04-04,155.79
1988-04-07,150.83
1988-04-12,150.87
1988-04-14,143.07
1988-04-16,166.77
1988-04-18,167.37
1988-04-19,229.33
1988-04-20,151.43
1988-04-29,187.09
1988-04-30,149.5
1988-05-14,150.21
1988-05-16,173.96
1988-05-17,151.72
1988-05-19,132.1
1988-05-25,154.22
1988-05-28,150.95
1988-06-21,143.73
1988-06-25,129.9
1988-07-19,152.89
1988-08-04,137.07
1988-08-22,134.6
1988-11-26,147.88
1988-12-07,147.08
1988-12-17,129.9
1988-12-18,151.04
1988-12-19,159.19
1988-12-24,148.77
