date,gpr_index
2003-01-28,285.57
2003-02-12,296.34
2003-02-13,334.66
2003-02-14,344.46
2003-02-15,317.92
2003-02-17,290.78
2003-02-18,342.68
2003-02-25,338.82
2003-03-04,326.09
2003-03-05,338.19
2003-03-07,313.06
2003-03-08,299.56
2003-03-10,327.62
2003-03-11,309.09
2003-03-12,347.37
2003-03-14,336.59
2003-03-17,344.84
2003-03-18,554.58
2003-03-19,540.06
2003-03-20,478.95
2003-03-21,595.03
2003-03-22,441.29
2003-03-24,441.45
2003-03-25,516.67
2003-03-26,417.85
2003-03-27,482.87
2003-03-28,373.54
2003-03-29,347.19
2003-03-31,439.02
2003-04-01,512.38
2003-04-02,428.78
2003-04-03,356.86
2003-04-04,394.21
2003-04-08,339.98
2003-04-09,354.19
2003-04-10,287.74
2003-04-11,319.09
