date,gpr_index
2006-01-20,153.49
2006-02-01,167.52
2006-07-06,172.96
2006-07-07,151.52
2006-07-10,161.29
2006-07-12,154.59
2006-07-13,180.89
2006-07-14,171.88
2006-07-17,224.1
2006-07-18,206.6
2006-07-19,179.24
2006-07-24,150.57
2006-07-26,165.11
2006-07-28,180.03
2006-08-01,151.56
2006-08-02,150.25
2006-08-07,171.41
2006-08-09,156.93
2006-08-11,252.68
2006-08-12,233.62
2006-08-14,207.28
2006-08-15,239.73
2006-08-18,154.88
2006-08-21,156.4
2006-08-22,180.15
2006-08-23,160.06
2006-08-25,150.98
2006-08-29,161.78
2006-09-01,159.05
2006-09-04,155.35
2006-09-05,173.75
2006-09-19,155.81
2006-10-10,251.71
2006-10-11,243.3
2006-10-16,160.47
2006-10-17,151.89
2006-12-05,150.87
