date,gpr_index
2007-01-10,153.24
2007-01-12,160.66
2007-01-17,128.29
2007-02-02,139.13
2007-02-20,128.34
2007-03-07,135.92
2007-03-27,129.02
2007-05-01,140.07
2007-05-30,159.36
2007-06-04,176.07
2007-06-06,127.91
2007-06-18,143.53
2007-07-02,153.72
2007-07-03,153.22
2007-07-04,159.69
2007-07-05,144.6
2007-07-09,152.3
2007-07-10,133.91
2007-07-13,150.71
2007-07-16,176.56
2007-07-18,154.23
2007-07-23,128.36
2007-07-31,129.9
2007-09-03,161.81
2007-09-27,177.98
2007-10-16,151.87
2007-10-17,175.77
2007-10-23,131.4
2007-10-24,157.74
2007-10-26,173.0
2007-11-05,149.0
2007-11-06,172.83
2007-11-08,140.0
2007-11-14,128.47
2007-12-04,133.6
2007-12-05,183.72
2007-12-28,186.46
