date,gpr_index
2010-01-01,200.21
2010-01-04,177.12
2010-01-06,161.59
2010-02-01,143.84
2010-02-04,129.4
2010-03-30,137.88
2010-04-07,138.17
2010-04-08,139.44
2010-04-09,164.31
2010-04-13,132.79
2010-05-03,147.41
2010-05-04,129.46
2010-05-18,135.35
2010-05-19,157.28
2010-05-21,132.24
2010-06-01,165.63
2010-06-02,181.89
2010-06-03,131.32
2010-06-07,150.21
2010-06-10,147.08
2010-06-22,131.23
2010-07-08,140.07
2010-07-13,140.02
2010-07-14,158.44
2010-07-26,132.67
2010-11-01,130.51
2010-11-02,130.62
2010-11-09,131.48
2010-11-24,166.79
2010-11-29,159.03
2010-11-30,183.41
2010-12-16,136.46
2010-12-21,156.81
2010-12-22,163.83
2010-12-25,131.34
2010-12-28,134.57
2010-12-30,161.36
